,Users,Movie,Rating
0,1,Fantastic Mr. Fox,2.3
1,1,The Break-Up,6.6
2,1,21,7.7
3,1,Cloud Atlas,2.6
4,1,Moonlight,6.3
5,2,The Expendables 3,9.9
6,2,Unstoppable,8.2
7,2,Incendies,2.7
8,2,Sherlock Holmes: A Game of Shadows,3.4
9,2,Pirates of the Caribbean: At World's End,4.5
10,3,Jagten,4
11,3,Captain America: The Winter Soldier,2.9
12,3,The Void,7
13,3,One Day,7.7
14,3,Ice Age: Collision Course,6.7
15,4,300,7.9
16,4,Spotlight,9.8
17,4,The Internship,7.9
18,4,Koe no katachi,6.2
19,4,Zack and Miri Make a Porno,5.1
20,5,Captain America: The First Avenger,8.5
21,5,You Don't Mess with the Zohan,8.6
22,5,Pride and Prejudice and Zombies,2.1
23,5,Precious,9
24,5,The Imitation Game,2.5
25,6,Elysium,8.4
26,6,The Void,4.8
27,6,World War Z,3.9
28,6,Gods of Egypt,3.3
29,6,American Wrestler: The Wizard,4.5
30,7,Pineapple Express,2.4
31,7,Entourage,4.7
32,7,Man Down,4.3
33,7,Star Trek Beyond,3.9
34,7,War Dogs,5.8
35,8,Don't Fuck in the Woods,3.4
36,8,A United Kingdom,4.6
37,8,The Neighbor,4.5
38,8,Beowulf,6.7
39,8,Trolls,4.8
40,9,Seven Pounds,3.9
41,9,The Black Room,6.3
42,9,The Ghost Writer,3.2
43,9,Conan the Barbarian,3.4
44,9,Apocalypto,5.8
45,10,Hacksaw Ridge,8.4
46,10,Disturbia,2.3
47,10,The Illusionist,4.9
48,10,The Human Centipede (First Sequence),2.5
49,10,Kick-Ass 2,6.1
50,11,John Wick,8.2
51,11,Mad Max: Fury Road,3.9
52,11,Genius,3.5
53,11,Live by Night,7.3
54,11,22 Jump Street,5.5
55,12,Oz the Great and Powerful,5.5
56,12,Coherence,7
57,12,The Assignment,5.6
58,12,Sleight,2
59,12,Deepwater Horizon,3.7
60,13,The Gambler,3.1
61,13,John Carter,2.1
62,13,Mr. Brooks,4
63,13,21 Jump Street,5.8
64,13,Coraline,5.9
65,14,Bridge of Spies,5.6
66,14,The Shallows,7.3
67,14,Martyrs,6.6
68,14,Terminator Genisys,3.5
69,14,Mean Dreams,4.9
70,15,Friday the 13th,9.3
71,15,Youth,9
72,15,The Last Face,4.8
73,15,We Need to Talk About Kevin,5.9
74,15,Pet,2.5
75,16,Child 44,5.6
76,16,Moana,7.6
77,16,Diary of a Wimpy Kid: Dog Days,2.5
78,16,If I Stay,5.5
79,16,Friend Request,8.6
80,17,Skyfall,5
